NAME,AltNames,Notes,Families,Density,Density U,LHV,LHV U,HHV,HHV U,MarketVal,MarketVal U,Cratio(Mass),Sratio(Mass),IsPrimary,MemberGroups,OptionalID
"air->unspecified:Organic substances, unspecified",,,,,,,,,,,,,,,,
"air->unspecified:PAH, polycyclic aromatic hydrocarbons",,,,,,,,,,,,,,,,
"air->unspecified:Particulates, < 10 um",,,,,,,,,,,,,,,,
"air->unspecified:Particulates, < 2.5 um",,,,,,,,,,,,,,,,
"air->unspecified:Particulates, > 2.5 um, and < 10um",,,,,,,,,,,,,,,,
"air->unspecified:Particulates, unspecified",,,,,,,,,,,,,,,,
air->unspecified:Phenanthrene,,,,,,,,,,,,,,,,
air->unspecified:Phenol,,,,,,,,,,,,,,,,
"air->unspecified:Phenols, unspecified",,,,,,,,,,,,,,,,
"air->unspecified:Phthalate, dioctyl-",,,,,,,,,,,,,,,,
"air->unspecified:Polycyclic organic matter, unspecified",,,,,,,,,,,,,,,,
air->unspecified:Propanal,,,,,,,,,,,,,,,,
air->unspecified:Propene,,,,,,,,,,,,,,,,
air->unspecified:Pyrene,,,,,,,,,,,,,,,,
"air->unspecified:Radioactive species, unspecified",,,,,,,,,,,,,,,,
air->unspecified:Radionuclides (Including Radon),,,,,,,,,,,,,,,,
air->unspecified:Selenium,,,,,,,,,,,,,,,,
air->unspecified:Styrene,,,,,,,,,,,,,,,,
air->unspecified:Sulfur dioxide,,,,,,,,,,,,,,,,
air->unspecified:Sulfur oxides,,,,,,,,,,,,,,,,
"air->unspecified:Sulfuric acid, dimethyl ester",,,,,,,,,,,,,,,,
air->unspecified:t-Butyl methyl ether,,,,,,,,,,,,,,,,
air->unspecified:Toluene,,,,,,,,,,,,,,,,
"air->unspecified:Toluene, 2,4-dinitro-",,,,,,,,,,,,,,,,
air->unspecified:Vinyl acetate,,,,,,,,,,,,,,,,
"air->unspecified:VOC, volatile organic compounds",,,,,,,,,,,,,,,,
air->unspecified:Xylene,,,,,,,,,,,,,,,,
air->unspecified:Zinc,,,,,,,,,,,,,,,,
water->unspecified:2-Hexanone,,,,,,,,,,,,,,,,
water->unspecified:4-Methyl-2-pentanone,,,,,,,,,,,,,,,,
water->unspecified:Acetone,,,,,,,,,,,,,,,,
water->unspecified:Aluminum,,,,,,,,,,,,,,,,
water->unspecified:Ammonia,,,,,,,,,,,,,,,,
"water->unspecified:Ammonium, ion",,,,,,,,,,,,,,,,
water->unspecified:Antimony,,,,,,,,,,,,,,,,
"water->unspecified:Arsenic, ion",,,,,,,,,,,,,,,,
water->unspecified:Barium,,,,,,,,,,,,,,,,
water->unspecified:Benzene,,,,,,,,,,,,,,,,
"water->unspecified:Benzene, 1-methyl-4-(1-methylethyl)-",,,,,,,,,,,,,,,,
"water->unspecified:Benzene, ethyl-",,,,,,,,,,,,,,,,
"water->unspecified:Benzene, pentamethyl-",,,,,,,,,,,,,,,,
"water->unspecified:Benzenes, alkylated, unspecified",,,,,,,,,,,,,,,,
water->unspecified:Benzoic acid,,,,,,,,,,,,,,,,
water->unspecified:Beryllium,,,,,,,,,,,,,,,,
water->unspecified:Biphenyl,,,,,,,,,,,,,,,,
"water->unspecified:BOD5, Biological Oxygen Demand",,,,,,,,,,,,,,,,
water->unspecified:Boron,,,,,,,,,,,,,,,,
water->unspecified:Bromide,,,,,,,,,,,,,,,,
"water->unspecified:Cadmium, ion",,,,,,,,,,,,,,,,
"water->unspecified:Calcium, ion",,,,,,,,,,,,,,,,
water->unspecified:Chloride,,,,,,,,,,,,,,,,
water->unspecified:Chromium,,,,,,,,,,,,,,,,
water->unspecified:Cobalt,,,,,,,,,,,,,,,,
"water->unspecified:COD, Chemical Oxygen Demand",,,,,,,,,,,,,,,,
water->unspecified:Copper,,,,,,,,,,,,,,,,
"water->unspecified:Copper, ion",,,,,,,,,,,,,,,,
water->unspecified:Cyanide,,,,,,,,,,,,,,,,
water->unspecified:Decane,,,,,,,,,,,,,,,,
water->unspecified:Dibenzofuran,,,,,,,,,,,,,,,,
water->unspecified:Dibenzothiophene,,,,,,,,,,,,,,,,
water->unspecified:Dissolved solids,,,,,,,,,,,,,,,,
water->unspecified:Docosane,,,,,,,,,,,,,,,,
water->unspecified:Dodecane,,,,,,,,,,,,,,,,
water->unspecified:Eicosane,,,,,,,,,,,,,,,,
water->unspecified:Fluorene,,,,,,,,,,,,,,,,
"water->unspecified:Fluorene, 1-methyl-",,,,,,,,,,,,,,,,
"water->unspecified:Fluorenes, alkylated, unspecified",,,,,,,,,,,,,,,,
water->unspecified:Fluoride,,,,,,,,,,,,,,,,
water->unspecified:Hexadecane,,,,,,,,,,,,,,,,
water->unspecified:Hexanoic acid,,,,,,,,,,,,,,,,
water->unspecified:Iron,,,,,,,,,,,,,,,,
water->unspecified:Lead,,,,,,,,,,,,,,,,
water->unspecified:Lead-210/kg,,,,,,,,,,,,,,,,
"water->unspecified:Lithium, ion",,,,,,,,,,,,,,,,
water->unspecified:m-Xylene,,,,,,,,,,,,,,,,
water->unspecified:Magnesium,,,,,,,,,,,,,,,,
water->unspecified:Manganese,,,,,,,,,,,,,,,,
water->unspecified:Mercury,,,,,,,,,,,,,,,,
"water->unspecified:Methane, monochloro-, R-40",,,,,,,,,,,,,,,,
water->unspecified:Methyl ethyl ketone,,,,,,,,,,,,,,,,
water->unspecified:Molybdenum,,,,,,,,,,,,,,,,
water->unspecified:n-Hexacosane,,,,,,,,,,,,,,,,
water->unspecified:Naphthalene,,,,,,,,,,,,,,,,
